Timestamp,Session_Name,Position,LEFT_EYE_X,LEFT_EYE_Y,LEFT_EYE_Z,LEFT_EYE_Visibility,RIGHT_EYE_X,RIGHT_EYE_Y,RIGHT_EYE_Z,RIGHT_EYE_Visibility,LEFT_EAR_X,LEFT_EAR_Y,LEFT_EAR_Z,LEFT_EAR_Visibility,RIGHT_EAR_X,RIGHT_EAR_Y,RIGHT_EAR_Z,RIGHT_EAR_Visibility,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,LEFT_SHOULDER_Z,LEFT_SHOULDER_Visibility,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,RIGHT_SHOULDER_Z,RIGHT_SHOULDER_Visibility,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_HIP_Visibility,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_HIP_Visibility
2026-08-21 17:39:04,Night_001,Back,0.567434,0.602905,-0.669634,0.999925,0.517298,0.605664,-0.665788,0.999859,0.588505,0.613691,-0.399635,0.999919,0.48645,0.613301,-0.382631,0.999923,0.658224,0.782578,-0.197942,0.999685,0.403781,0.760159,-0.134821,0.998924,0.609796,1.282093,-0.048614,0.001418,0.423861,1.277536,0.052025,0.001047
2026-08-21 17:39:07,Night_001,Left Side,0.511002,0.561772,-0.150467,0.997742,0.493722,0.562034,-0.076166,0.997872,0.557615,0.57196,-0.236792,0.998199,0.53101,0.571948,0.091686,0.998357,0.639773,0.733995,-0.40005,0.998253,0.517056,0.721108,0.294565,0.998822,0.588653,1.190866,-0.187436,0.25898,0.497779,1.137951,0.18776,0.412351
2026-08-21 17:39:08,Night_001,Back,0.530887,0.580642,0.136451,0.997973,0.545999,0.5789,0.171545,0.997498,0.548851,0.599988,-0.121018,0.998256,0.575416,0.596732,0.054479,0.998347,0.496706,0.770315,-0.259847,0.998119,0.698216,0.7581,0.124821,0.996297,0.492973,1.227681,-0.124396,0.555548,0.600113,1.253534,0.124476,0.598601
2026-08-21 17:39:08,Night_001,Left Side,0.542889,0.574912,0.359899,0.999366,0.571463,0.57282,0.38115,0.999262,0.53699,0.592472,0.111349,0.99941,0.590129,0.592129,0.205651,0.999524,0.497113,0.733621,-0.015363,0.996421,0.634832,0.737219,0.181504,0.994312,0.569795,1.219717,-0.077965,0.194932,0.617027,1.217737,0.079708,0.204579
2026-08-21 17:39:09,Night_001,Back,0.568308,0.591943,-0.119877,0.998255,0.557828,0.594998,-0.166863,0.997462,0.555526,0.591704,0.094861,0.998929,0.523718,0.60279,-0.114682,0.997605,0.595558,0.739235,0.209884,0.994179,0.41709,0.735503,-0.225689,0.993224,0.612398,1.136472,0.124649,0.486247,0.499211,1.183284,-0.122601,0.508197
2026-08-21 17:39:09,Night_001,Right Side,0.568485,0.57317,-0.160491,0.998857,0.554094,0.576735,-0.212429,0.998343,0.553017,0.5903,0.073126,0.999284,0.528141,0.600077,-0.243401,0.998468,0.599623,0.763631,0.227123,0.995468,0.509742,0.749843,-0.391563,0.98686,0.632067,1.176122,0.152429,0.380054,0.551187,1.201262,-0.150973,0.385073
2026-08-21 17:39:09,Night_001,Back,0.566266,0.572988,-0.239347,0.998906,0.553743,0.576515,-0.300832,0.998433,0.552476,0.590157,0.009996,0.999317,0.529364,0.599888,-0.286373,0.998571,0.614723,0.764003,0.201105,0.99551,0.486864,0.746511,-0.42183,0.986408,0.653621,1.175818,0.15045,0.346728,0.551234,1.200684,-0.148922,0.349782
2026-08-21 17:39:09,Night_001,Right Side,0.565872,0.569814,-0.234342,0.998899,0.554027,0.574503,-0.306492,0.998459,0.550473,0.587989,-0.002018,0.999297,0.529641,0.599483,-0.33399,0.998636,0.601039,0.764572,0.188354,0.995576,0.496849,0.75589,-0.489369,0.986793,0.652115,1.181664,0.155159,0.327603,0.554364,1.206204,-0.153637,0.325
2026-08-21 17:39:10,Night_001,Left Side,0.567837,0.563665,-0.053589,0.999118,0.570238,0.568019,-0.134219,0.998911,0.538586,0.587225,0.080125,0.999362,0.541159,0.596201,-0.293762,0.999041,0.481502,0.752804,0.266978,0.993141,0.570361,0.777779,-0.450686,0.989997,0.597356,1.194349,0.194523,0.266002,0.600323,1.227258,-0.193442,0.273597
2026-08-21 17:39:10,Night_001,Right Side,0.570429,0.556262,-0.206875,0.999441,0.575743,0.562225,-0.286668,0.999417,0.537711,0.585417,-0.066832,0.999503,0.541363,0.598019,-0.42638,0.9995,0.45426,0.747181,0.168191,0.992901,0.568394,0.822866,-0.566034,0.993756,0.552298,1.252462,0.200585,0.140796,0.622829,1.288685,-0.199666,0.136651
